application_id,destination_country,visa_type,nationality,application_date,decision_date,processing_time_days,visa_status,processing_center,biometric_required,interview_required,application_mode
VISA000258,Canada,Tourist,Nigeria,2023-10-03,2023-12-21,79,Rejected,Manila,Yes,Yes,Online
VISA000259,Australia,Student,Nigeria,2023-04-18,2023-07-11,84,Rejected,Manila,Yes,Yes,Online
VISA000260,USA,Visiting,China,2022-05-31,2022-07-21,51,Approved,Manila,No,Yes,Offline
VISA000261,UK,Visiting,China,2023-02-19,2023-04-16,56,Approved,Manila,Yes,Yes,Online
VISA000262,Canada,Tourist,Philippines,2022-10-25,2022-12-25,61,Approved,Beijing,No,No,Online
VISA000263,Canada,Student,Philippines,2023-09-03,2023-10-30,57,Approved,Chennai,Yes,No,Online
VISA000264,UK,Work,China,2022-09-20,2022-10-19,29,Approved,Chennai,Yes,Yes,Online
VISA000265,USA,Work,Philippines,2022-05-24,2022-07-24,61,Approved,Sao Paulo,Yes,Yes,Online
VISA000266,Canada,Student,Brazil,2022-12-12,2023-01-04,23,Approved,Chennai,Yes,Yes,Online
VISA000267,Canada,Visiting,China,2023-09-16,2023-10-30,44,Approved,Mumbai,Yes,No,Online
VISA000268,Canada,Visiting,Nigeria,2023-07-26,2023-09-26,62,Approved,Chennai,Yes,No,Online
VISA000269,USA,Work,Brazil,2022-01-02,2022-03-06,63,Approved,Beijing,Yes,Yes,Offline
VISA000270,USA,Work,Philippines,2022-10-31,2022-12-12,42,Approved,Manila,Yes,No,Online
VISA000271,UK,Work,Bangladesh,2022-09-11,2022-10-29,48,Approved,Bengaluru,Yes,No,Online
VISA000272,USA,Tourist,India,2023-10-14,2023-11-29,46,Approved,Bengaluru,No,Yes,Online
VISA000273,USA,Work,China,2023-03-29,2023-05-21,53,Approved,Mumbai,Yes,Yes,Online
VISA000274,Australia,Tourist,Bangladesh,2022-02-06,2022-04-01,54,Approved,Beijing,Yes,No,Offline
VISA000275,UK,Student,Philippines,2022-06-09,2022-08-13,65,Approved,Abuja,Yes,No,Offline
VISA000276,Canada,Visiting,Nigeria,2022-01-09,2022-02-25,47,Approved,Dhaka,Yes,Yes,Online
VISA000277,USA,Work,India,2022-08-21,2022-10-20,60,Approved,Sao Paulo,No,Yes,Online
VISA000278,Canada,Visiting,Bangladesh,2022-04-09,2022-06-10,62,Approved,Abuja,Yes,Yes,Online
VISA000279,Canada,Visiting,India,2023-10-21,2023-12-17,57,Approved,Beijing,Yes,Yes,Online
VISA000280,Australia,Work,China,2022-07-27,2022-09-16,51,Approved,Chennai,No,No,Online
VISA000281,USA,Work,Philippines,2022-05-11,2022-07-07,57,Approved,Manila,Yes,Yes,Offline
VISA000282,UK,Student,Nigeria,2023-02-08,2023-04-15,66,Rejected,Abuja,Yes,No,Online
VISA000283,USA,Tourist,Philippines,2022-06-01,2022-08-07,67,Rejected,Dhaka,No,No,Offline
VISA000284,Canada,Tourist,India,2022-02-23,2022-05-16,82,Rejected,Bengaluru,Yes,Yes,Online
VISA000285,UK,Visiting,Bangladesh,2022-04-30,2022-06-09,40,Approved,Dhaka,Yes,Yes,Online
VISA000286,USA,Work,China,2023-11-04,2023-12-22,48,Approved,Manila,Yes,Yes,Online
VISA000287,Canada,Student,China,2023-09-20,2023-10-20,30,Approved,Chennai,Yes,No,Online
VISA000288,Canada,Student,Philippines,2023-08-10,2023-10-17,68,Rejected,Dhaka,Yes,Yes,Online
VISA000289,Australia,Student,Bangladesh,2023-09-17,2023-11-05,49,Approved,Sao Paulo,No,No,Online
VISA000290,Australia,Student,Bangladesh,2023-02-24,2023-04-23,58,Approved,Dhaka,Yes,No,Online
VISA000291,Australia,Student,India,2023-02-26,2023-04-12,45,Approved,Beijing,No,Yes,Online
VISA000292,Canada,Tourist,Philippines,2022-04-14,2022-06-03,50,Approved,Chennai,No,No,Online
VISA000293,USA,Tourist,Philippines,2022-09-11,2022-11-23,73,Rejected,Manila,Yes,No,Online
VISA000294,Australia,Tourist,Brazil,2022-08-15,2022-10-19,65,Approved,Bengaluru,Yes,Yes,Online
VISA000295,USA,Work,Philippines,2022-04-22,2022-06-14,53,Approved,Bengaluru,Yes,Yes,Online
VISA000296,Australia,Visiting,China,2023-05-25,2023-07-30,66,Rejected,Dhaka,No,No,Online
VISA000297,UK,Student,India,2023-04-18,2023-06-23,66,Rejected,Beijing,No,No,Online
VISA000298,UK,Work,Bangladesh,2022-04-09,2022-05-28,49,Approved,Abuja,Yes,Yes,Online
VISA000299,Australia,Student,Philippines,2022-06-02,2022-07-04,32,Approved,Abuja,Yes,Yes,Online
VISA000300,Canada,Tourist,India,2022-12-04,2023-01-14,41,Approved,Beijing,Yes,Yes,Offline
VISA000301,Australia,Work,Philippines,2023-12-07,2024-01-10,34,Approved,Sao Paulo,No,No,Online
VISA000302,Australia,Tourist,Bangladesh,2022-06-12,2022-08-23,72,Rejected,Abuja,Yes,Yes,Online
VISA000303,Canada,Student,Nigeria,2023-12-21,2024-03-05,75,Rejected,Abuja,Yes,Yes,Offline
VISA000304,UK,Student,Bangladesh,2023-11-12,2024-01-29,78,Rejected,Manila,No,No,Online
VISA000305,USA,Visiting,Bangladesh,2022-06-10,2022-07-04,24,Approved,Manila,Yes,Yes,Online
VISA000306,Australia,Student,Bangladesh,2023-08-03,2023-10-13,71,Rejected,Chennai,Yes,No,Offline
VISA000307,Canada,Tourist,Philippines,2023-02-02,2023-05-01,88,Rejected,Sao Paulo,Yes,Yes,Online
VISA000308,Australia,Student,Brazil,2022-10-04,2022-12-14,71,Rejected,Sao Paulo,Yes,No,Offline
VISA000309,Canada,Visiting,Bangladesh,2023-05-19,2023-06-10,22,Approved,Chennai,Yes,Yes,Online
VISA000310,USA,Visiting,China,2023-01-27,2023-04-18,81,Rejected,Sao Paulo,No,No,Online
VISA000311,USA,Tourist,China,2022-05-15,2022-07-09,55,Approved,Mumbai,Yes,No,Offline
VISA000312,UK,Work,India,2022-07-14,2022-09-03,51,Approved,Shanghai,Yes,Yes,Online
VISA000313,Canada,Student,Brazil,2023-02-05,2023-04-07,61,Approved,Manila,Yes,Yes,Online
VISA000314,Canada,Visiting,India,2023-10-02,2023-11-10,39,Approved,Chennai,Yes,Yes,Online
VISA000315,UK,Student,China,2022-02-02,2022-03-29,55,Approved,Chennai,Yes,Yes,Online
VISA000316,UK,Student,China,2023-11-19,2024-02-06,79,Rejected,Sao Paulo,No,No,Online
VISA000317,Canada,Work,Nigeria,2023-04-05,2023-06-08,64,Approved,Abuja,No,No,Online
VISA000318,UK,Visiting,Bangladesh,2023-04-15,2023-06-09,55,Approved,Bengaluru,Yes,Yes,Online
VISA000319,USA,Student,China,2023-01-10,2023-03-07,56,Approved,Dhaka,Yes,No,Online
VISA000320,Australia,Visiting,Philippines,2022-01-22,2022-02-28,37,Approved,Dhaka,Yes,No,Online
VISA000321,USA,Tourist,Philippines,2023-11-01,2023-12-23,52,Approved,Chennai,No,No,Online
VISA000322,UK,Tourist,India,2022-02-07,2022-03-09,30,Approved,Mumbai,Yes,Yes,Online
VISA000323,Canada,Student,India,2022-08-18,2022-10-27,70,Rejected,Chennai,No,Yes,Offline
VISA000324,Canada,Visiting,Bangladesh,2022-12-31,2023-01-22,22,Approved,Manila,Yes,Yes,Online
VISA000325,USA,Student,Bangladesh,2023-07-17,2023-09-22,67,Rejected,Sao Paulo,No,Yes,Online
VISA000326,Canada,Visiting,Nigeria,2023-03-14,2023-05-22,69,Rejected,Sao Paulo,No,Yes,Offline
VISA000327,UK,Visiting,Brazil,2022-10-10,2022-12-23,74,Rejected,Mumbai,No,Yes,Offline
VISA000328,USA,Work,India,2022-01-27,2022-03-24,56,Approved,Manila,Yes,Yes,Online
VISA000329,Canada,Work,Bangladesh,2022-08-14,2022-10-21,68,Rejected,Bengaluru,Yes,No,Offline
VISA000330,Australia,Work,India,2022-10-04,2022-11-25,52,Approved,Abuja,Yes,Yes,Online
VISA000331,Australia,Student,Bangladesh,2023-09-01,2023-10-08,37,Approved,Manila,No,Yes,Offline
VISA000332,UK,Work,China,2022-10-11,2022-12-27,77,Rejected,Beijing,Yes,Yes,Online
VISA000333,Canada,Work,India,2023-04-26,2023-06-18,53,Approved,Shanghai,No,Yes,Online
VISA000334,UK,Tourist,China,2023-03-29,2023-05-01,33,Approved,Chennai,No,Yes,Online
VISA000335,USA,Visiting,India,2023-10-21,2023-12-07,47,Approved,Beijing,Yes,Yes,Offline
VISA000336,Australia,Visiting,Brazil,2023-05-31,2023-07-18,48,Approved,Mumbai,No,Yes,Online
VISA000337,USA,Work,Nigeria,2023-07-01,2023-08-31,61,Approved,Beijing,Yes,Yes,Online
VISA000338,Canada,Visiting,Philippines,2022-07-11,2022-10-09,90,Rejected,Sao Paulo,Yes,Yes,Online
VISA000339,UK,Tourist,Philippines,2022-02-18,2022-04-21,62,Approved,Abuja,Yes,Yes,Offline
VISA000340,UK,Tourist,Philippines,2023-05-27,2023-07-24,58,Approved,Dhaka,Yes,No,Offline
VISA000341,UK,Work,China,2022-01-17,2022-04-18,91,Rejected,Chennai,No,Yes,Online
VISA000342,USA,Tourist,Bangladesh,2022-06-21,2022-08-29,69,Rejected,Dhaka,Yes,Yes,Online
VISA000343,Australia,Visiting,Philippines,2022-08-08,2022-10-05,58,Approved,Sao Paulo,Yes,Yes,Online
VISA000344,USA,Student,Brazil,2022-06-07,2022-07-24,47,Approved,Sao Paulo,Yes,Yes,Online
VISA000345,USA,Visiting,Philippines,2023-04-22,2023-06-20,59,Approved,Chennai,No,Yes,Offline
VISA000346,Canada,Student,India,2022-02-15,2022-04-10,54,Approved,Dhaka,Yes,Yes,Online
VISA000347,Canada,Work,China,2023-01-08,2023-03-05,56,Approved,Manila,No,No,Online
VISA000348,Canada,Student,India,2023-06-02,2023-08-15,74,Rejected,Sao Paulo,Yes,Yes,Online
VISA000349,Australia,Tourist,India,2022-04-09,2022-05-25,46,Approved,Dhaka,Yes,Yes,Online
VISA000350,Australia,Visiting,India,2022-02-06,2022-04-09,62,Approved,Bengaluru,Yes,No,Online
VISA000351,Canada,Student,Nigeria,2022-10-07,2022-12-15,69,Rejected,Dhaka,Yes,No,Online
VISA000352,Canada,Visiting,Nigeria,2022-12-15,2023-01-29,45,Approved,Bengaluru,No,Yes,Online
VISA000353,Australia,Work,Bangladesh,2023-05-12,2023-06-23,42,Approved,Bengaluru,Yes,Yes,Online
VISA000354,UK,Work,China,2022-10-29,2022-12-20,52,Approved,Sao Paulo,No,Yes,Online
VISA000355,Australia,Tourist,Brazil,2022-06-30,2022-08-17,48,Approved,Chennai,Yes,Yes,Online
VISA000356,Australia,Work,Brazil,2023-08-30,2023-11-10,72,Rejected,Mumbai,Yes,Yes,Online
VISA000357,Australia,Student,Brazil,2022-04-09,2022-05-18,39,Approved,Sao Paulo,No,Yes,Offline
VISA000358,Canada,Work,India,2023-12-01,2024-01-26,56,Approved,Chennai,No,No,Online
VISA000359,UK,Tourist,Nigeria,2022-04-26,2022-07-28,93,Rejected,Chennai,Yes,Yes,Online
VISA000360,Australia,Visiting,China,2022-07-10,2022-09-09,61,Approved,Beijing,Yes,Yes,Online
VISA000361,Canada,Visiting,India,2022-09-10,2022-11-12,63,Approved,Shanghai,Yes,Yes,Online
VISA000362,USA,Work,Nigeria,2022-06-10,2022-08-21,72,Rejected,Sao Paulo,Yes,No,Online
VISA000363,USA,Student,Nigeria,2022-09-13,2022-10-31,48,Approved,Chennai,No,Yes,Online
VISA000364,Australia,Tourist,Philippines,2022-11-19,2022-12-27,38,Approved,Beijing,No,No,Online
VISA000365,USA,Student,Philippines,2022-05-08,2022-07-04,57,Approved,Bengaluru,Yes,Yes,Online
VISA000366,UK,Tourist,China,2022-01-18,2022-03-17,58,Approved,Mumbai,No,Yes,Online
VISA000367,USA,Work,China,2023-07-20,2023-08-19,30,Approved,Mumbai,Yes,Yes,Offline
VISA000368,USA,Tourist,China,2023-07-24,2023-09-22,60,Approved,Bengaluru,Yes,Yes,Offline
VISA000369,UK,Tourist,India,2022-11-19,2023-01-29,71,Rejected,Dhaka,Yes,Yes,Online
VISA000370,Australia,Work,Bangladesh,2023-11-17,2023-12-28,41,Approved,Dhaka,Yes,Yes,Online
VISA000371,Australia,Student,China,2023-09-18,2023-11-18,61,Approved,Sao Paulo,Yes,Yes,Online
VISA000372,UK,Work,Philippines,2022-10-15,2022-12-22,68,Rejected,Shanghai,Yes,No,Online
VISA000373,UK,Tourist,Bangladesh,2023-10-25,2023-12-27,63,Approved,Beijing,Yes,Yes,Online
VISA000374,UK,Work,India,2023-10-01,2023-12-05,65,Approved,Mumbai,Yes,Yes,Offline
VISA000375,USA,Tourist,Bangladesh,2022-06-04,2022-07-25,51,Approved,Abuja,No,Yes,Online
VISA000376,UK,Work,Brazil,2023-05-05,2023-06-12,38,Approved,Abuja,Yes,No,Offline
VISA000377,Canada,Visiting,Bangladesh,2023-01-21,2023-03-10,48,Approved,Manila,Yes,No,Online
VISA000378,USA,Visiting,China,2022-04-14,2022-05-30,46,Approved,Chennai,No,Yes,Offline
VISA000379,Australia,Work,India,2023-01-28,2023-03-22,53,Approved,Bengaluru,No,Yes,Online
VISA000380,Australia,Student,China,2022-09-03,2022-11-13,71,Rejected,Chennai,No,Yes,Online
VISA000381,Australia,Tourist,Philippines,2022-06-25,2022-07-30,35,Approved,Chennai,Yes,No,Online
VISA000382,USA,Visiting,Brazil,2022-02-08,2022-04-06,57,Approved,Beijing,Yes,No,Online
VISA000383,Canada,Student,Philippines,2023-04-22,2023-05-31,39,Approved,Manila,Yes,Yes,Online
VISA000384,UK,Tourist,China,2023-11-13,2023-12-26,43,Approved,Shanghai,Yes,Yes,Online
VISA000385,UK,Visiting,China,2023-06-22,2023-08-24,63,Approved,Manila,No,Yes,Online
VISA000386,Australia,Visiting,China,2023-02-12,2023-03-21,37,Approved,Mumbai,Yes,Yes,Online
VISA000387,Australia,Work,Nigeria,2023-06-09,2023-08-14,66,Rejected,Beijing,Yes,No,Offline
VISA000388,USA,Tourist,Brazil,2023-05-21,2023-06-24,34,Approved,Chennai,Yes,Yes,Online
VISA000389,Canada,Student,China,2022-02-05,2022-04-11,65,Approved,Shanghai,Yes,Yes,Online
VISA000390,UK,Student,China,2023-11-16,2023-12-17,31,Approved,Chennai,No,No,Online
VISA000391,USA,Student,Philippines,2022-01-20,2022-03-06,45,Approved,Sao Paulo,Yes,No,Offline
VISA000392,UK,Tourist,Philippines,2022-11-17,2023-02-08,83,Rejected,Sao Paulo,Yes,Yes,Online
VISA000393,Australia,Student,China,2023-05-27,2023-08-15,80,Rejected,Dhaka,Yes,No,Online
VISA000394,UK,Student,India,2023-02-04,2023-03-24,48,Approved,Manila,Yes,Yes,Online
VISA000395,Canada,Student,Nigeria,2023-10-16,2023-12-15,60,Approved,Shanghai,Yes,No,Offline
VISA000396,Canada,Work,Philippines,2023-04-16,2023-06-28,73,Rejected,Sao Paulo,Yes,No,Offline
VISA000397,Australia,Work,India,2022-05-23,2022-07-27,65,Approved,Dhaka,Yes,Yes,Online
VISA000398,Canada,Tourist,Nigeria,2022-04-02,2022-05-22,50,Approved,Beijing,No,No,Online
VISA000399,Canada,Tourist,China,2022-12-20,2023-02-01,43,Approved,Shanghai,No,No,Online
VISA000400,USA,Student,Brazil,2023-12-28,2024-03-05,68,Rejected,Dhaka,No,Yes,Online
VISA000401,UK,Work,Bangladesh,2022-02-20,2022-05-02,71,Rejected,Bengaluru,No,Yes,Online
VISA000402,Australia,Visiting,Bangladesh,2023-10-27,2024-01-15,80,Rejected,Shanghai,Yes,No,Online
VISA000403,Australia,Visiting,China,2023-11-29,2023-12-28,29,Approved,Dhaka,Yes,Yes,Offline
VISA000404,Australia,Student,Philippines,2023-07-29,2023-09-03,36,Approved,Chennai,Yes,Yes,Online
VISA000405,Australia,Student,India,2022-07-09,2022-09-19,72,Rejected,Bengaluru,No,No,Online
VISA000406,Australia,Work,Brazil,2022-05-05,2022-06-05,31,Approved,Sao Paulo,No,No,Online
VISA000407,Canada,Work,Nigeria,2022-05-30,2022-08-11,73,Rejected,Abuja,No,Yes,Online
VISA000408,USA,Work,China,2022-11-10,2022-12-31,51,Approved,Dhaka,Yes,Yes,Offline
VISA000409,Australia,Tourist,Brazil,2023-07-24,2023-09-09,47,Approved,Beijing,No,Yes,Online
VISA000410,USA,Tourist,Brazil,2022-12-08,2023-02-04,58,Approved,Dhaka,Yes,Yes,Online
VISA000411,USA,Student,Philippines,2022-11-01,2022-12-05,34,Approved,Abuja,Yes,Yes,Online
VISA000412,Canada,Tourist,Nigeria,2023-11-23,2024-01-29,67,Rejected,Bengaluru,Yes,No,Online
VISA000413,Australia,Work,Brazil,2023-11-13,2024-02-01,80,Rejected,Bengaluru,Yes,Yes,Offline
VISA000414,Canada,Work,Philippines,2022-02-23,2022-05-02,68,Rejected,Shanghai,Yes,Yes,Online
VISA000415,Australia,Tourist,India,2023-03-20,2023-05-10,51,Approved,Beijing,Yes,Yes,Offline
VISA000416,Canada,Visiting,Philippines,2023-09-05,2023-10-06,31,Approved,Beijing,Yes,No,Online
VISA000417,USA,Student,India,2022-09-21,2022-10-23,32,Approved,Beijing,Yes,Yes,Offline
VISA000418,Australia,Visiting,India,2022-02-22,2022-03-29,35,Approved,Abuja,No,Yes,Online
VISA000419,UK,Student,Brazil,2023-07-26,2023-09-18,54,Approved,Beijing,Yes,Yes,Offline
VISA000420,USA,Visiting,Philippines,2023-09-12,2023-11-07,56,Approved,Mumbai,Yes,Yes,Online
VISA000421,UK,Tourist,India,2022-01-05,2022-03-14,68,Rejected,Abuja,No,Yes,Online
VISA000422,USA,Student,Nigeria,2022-04-13,2022-05-11,28,Approved,Bengaluru,No,Yes,Online
VISA000423,Canada,Student,Brazil,2022-07-15,2022-09-27,74,Rejected,Abuja,Yes,Yes,Online
VISA000424,Australia,Student,Philippines,2022-12-16,2023-02-19,65,Approved,Chennai,Yes,Yes,Online
VISA000425,USA,Work,Philippines,2022-02-16,2022-04-07,50,Approved,Chennai,Yes,Yes,Online
VISA000426,Canada,Work,Bangladesh,2023-10-18,2023-11-24,37,Approved,Beijing,Yes,Yes,Offline
VISA000427,Australia,Visiting,Philippines,2022-09-26,2022-12-08,73,Rejected,Bengaluru,Yes,Yes,Online
VISA000428,Australia,Tourist,Brazil,2023-01-05,2023-02-24,50,Approved,Abuja,No,Yes,Offline
VISA000429,USA,Work,Nigeria,2023-09-28,2023-11-21,54,Approved,Abuja,Yes,Yes,Offline
VISA000430,Australia,Student,Philippines,2022-04-16,2022-06-15,60,Approved,Abuja,No,Yes,Online
VISA000431,USA,Work,Bangladesh,2023-11-01,2023-12-12,41,Approved,Mumbai,No,No,Online
VISA000432,Australia,Tourist,Brazil,2023-10-21,2023-12-10,50,Approved,Chennai,No,Yes,Online
VISA000433,UK,Work,India,2023-10-19,2023-12-25,67,Rejected,Abuja,Yes,Yes,Online
VISA000434,Canada,Student,China,2022-04-30,2022-07-05,66,Rejected,Mumbai,No,Yes,Online
VISA000435,UK,Visiting,China,2023-08-27,2023-11-01,66,Rejected,Chennai,Yes,No,Offline
VISA000436,USA,Student,India,2022-02-27,2022-04-05,37,Approved,Mumbai,Yes,No,Online
VISA000437,UK,Tourist,Philippines,2022-12-12,2023-02-01,51,Approved,Shanghai,Yes,Yes,Online
VISA000438,USA,Visiting,China,2023-04-19,2023-06-07,49,Approved,Chennai,Yes,Yes,Online
VISA000439,Australia,Work,China,2022-04-27,2022-06-27,61,Approved,Sao Paulo,No,Yes,Offline
VISA000440,Australia,Work,India,2022-05-07,2022-07-06,60,Approved,Shanghai,Yes,Yes,Online
VISA000441,USA,Work,Philippines,2023-01-28,2023-03-26,57,Approved,Abuja,Yes,Yes,Online
VISA000442,UK,Visiting,Philippines,2023-10-03,2024-01-02,91,Rejected,Bengaluru,Yes,No,Online
VISA000443,Australia,Student,India,2022-02-27,2022-04-18,50,Approved,Mumbai,Yes,Yes,Online
VISA000444,Canada,Visiting,Philippines,2023-09-26,2023-11-13,48,Approved,Mumbai,Yes,No,Offline
VISA000445,Australia,Visiting,Philippines,2023-05-28,2023-07-04,37,Approved,Mumbai,No,Yes,Offline
VISA000446,Canada,Tourist,Brazil,2022-04-06,2022-05-07,31,Approved,Mumbai,Yes,No,Online
VISA000447,UK,Visiting,Brazil,2023-09-30,2023-11-05,36,Approved,Bengaluru,Yes,No,Online
VISA000448,Canada,Work,India,2022-04-28,2022-06-11,44,Approved,Dhaka,Yes,Yes,Online
VISA000449,Canada,Student,Nigeria,2023-07-14,2023-09-26,74,Rejected,Mumbai,Yes,Yes,Online
VISA000450,Canada,Student,China,2023-08-24,2023-10-18,55,Approved,Dhaka,Yes,Yes,Online
VISA000451,Canada,Student,Brazil,2023-05-03,2023-06-29,57,Approved,Bengaluru,Yes,Yes,Online
VISA000452,Australia,Work,China,2022-08-25,2022-10-17,53,Approved,Bengaluru,No,Yes,Online
VISA000453,Canada,Work,Bangladesh,2022-09-29,2022-11-28,60,Approved,Shanghai,Yes,Yes,Offline
VISA000454,Australia,Work,India,2022-07-08,2022-09-22,76,Rejected,Chennai,Yes,Yes,Online
VISA000455,Canada,Work,Nigeria,2023-12-05,2023-12-30,25,Approved,Sao Paulo,Yes,No,Offline
VISA000456,USA,Work,Bangladesh,2023-03-23,2023-06-04,73,Rejected,Beijing,No,Yes,Online
VISA000457,UK,Visiting,Bangladesh,2023-08-04,2023-08-21,17,Approved,Sao Paulo,Yes,No,Online
VISA000458,Canada,Work,Philippines,2022-09-04,2022-10-29,55,Approved,Beijing,Yes,Yes,Offline
VISA000459,USA,Work,Bangladesh,2022-03-17,2022-06-12,87,Rejected,Bengaluru,No,No,Online
VISA000460,Canada,Work,India,2022-06-03,2022-08-07,65,Approved,Sao Paulo,Yes,Yes,Online
VISA000461,Canada,Work,Brazil,2023-10-18,2023-12-17,60,Approved,Manila,Yes,Yes,Online
VISA000462,Canada,Student,India,2023-03-11,2023-06-04,85,Rejected,Chennai,Yes,No,Online
VISA000463,USA,Work,Brazil,2022-03-27,2022-05-10,44,Approved,Sao Paulo,Yes,Yes,Offline
VISA000464,UK,Visiting,Bangladesh,2023-11-28,2024-01-28,61,Approved,Chennai,Yes,No,Offline
VISA000465,USA,Visiting,Bangladesh,2022-10-12,2022-12-14,63,Approved,Dhaka,Yes,Yes,Online
VISA000466,UK,Visiting,Nigeria,2022-08-08,2022-09-24,47,Approved,Chennai,Yes,Yes,Online
VISA000467,Canada,Tourist,Brazil,2022-03-10,2022-04-27,48,Approved,Dhaka,Yes,Yes,Online
VISA000468,Australia,Student,Bangladesh,2022-02-16,2022-04-03,46,Approved,Mumbai,Yes,No,Online
VISA000469,Canada,Work,Philippines,2022-04-04,2022-05-30,56,Approved,Dhaka,No,Yes,Online
VISA000470,UK,Tourist,China,2023-03-29,2023-05-31,63,Approved,Shanghai,No,No,Online
VISA000471,USA,Work,Nigeria,2022-07-23,2022-09-17,56,Approved,Mumbai,No,No,Online
VISA000472,Canada,Tourist,India,2022-08-06,2022-10-10,65,Approved,Bengaluru,Yes,Yes,Online
VISA000473,USA,Tourist,Nigeria,2023-04-19,2023-05-14,25,Approved,Abuja,Yes,Yes,Online
VISA000474,USA,Visiting,China,2023-03-08,2023-04-28,51,Approved,Dhaka,Yes,No,Online
VISA000475,USA,Visiting,Brazil,2022-12-07,2023-01-15,39,Approved,Dhaka,Yes,Yes,Online
VISA000476,Canada,Tourist,India,2023-07-05,2023-09-02,59,Approved,Chennai,No,Yes,Offline
VISA000477,USA,Visiting,India,2023-09-04,2023-11-02,59,Approved,Bengaluru,Yes,Yes,Offline
VISA000478,USA,Tourist,Brazil,2022-10-16,2022-12-08,53,Approved,Sao Paulo,Yes,Yes,Online
VISA000479,Canada,Student,Nigeria,2022-09-11,2022-11-12,62,Approved,Manila,Yes,Yes,Online
VISA000480,USA,Visiting,Bangladesh,2022-12-23,2023-03-02,69,Rejected,Beijing,Yes,Yes,Offline
VISA000481,Canada,Visiting,Nigeria,2022-01-23,2022-03-18,54,Approved,Dhaka,Yes,No,Offline
VISA000482,UK,Visiting,China,2023-06-06,2023-07-15,39,Approved,Sao Paulo,Yes,Yes,Offline
VISA000483,UK,Student,Philippines,2022-04-10,2022-05-11,31,Approved,Manila,Yes,Yes,Online
VISA000484,UK,Tourist,Bangladesh,2022-06-29,2022-08-23,55,Approved,Beijing,No,No,Offline
VISA000485,USA,Work,Nigeria,2022-08-11,2022-10-08,58,Approved,Abuja,Yes,No,Online
VISA000486,Australia,Visiting,Philippines,2023-10-21,2023-11-30,40,Approved,Chennai,No,No,Online
VISA000487,Australia,Tourist,Philippines,2023-03-18,2023-05-22,65,Approved,Sao Paulo,No,Yes,Offline
VISA000488,USA,Student,Brazil,2023-08-31,2023-10-18,48,Approved,Chennai,Yes,No,Online
VISA000489,Australia,Work,China,2022-11-21,2022-12-21,30,Approved,Beijing,No,Yes,Offline
VISA000490,Canada,Visiting,China,2023-05-31,2023-08-12,73,Rejected,Shanghai,Yes,Yes,Online
VISA000491,Australia,Student,China,2022-01-16,2022-03-29,72,Rejected,Dhaka,No,Yes,Offline
VISA000492,USA,Student,Bangladesh,2022-12-02,2022-12-26,24,Approved,Mumbai,Yes,Yes,Online
VISA000493,USA,Work,India,2022-09-15,2022-10-31,46,Approved,Manila,Yes,No,Offline
VISA000494,Canada,Tourist,Bangladesh,2023-05-12,2023-06-26,45,Approved,Bengaluru,Yes,Yes,Online
VISA000495,UK,Visiting,Nigeria,2022-06-09,2022-08-27,79,Rejected,Dhaka,Yes,No,Online
VISA000496,USA,Visiting,Philippines,2023-04-20,2023-06-12,53,Approved,Mumbai,No,No,Online
VISA000497,Canada,Tourist,Philippines,2023-10-26,2023-11-27,32,Approved,Sao Paulo,Yes,Yes,Online
VISA000498,Australia,Tourist,India,2023-11-21,2024-01-28,68,Rejected,Abuja,Yes,Yes,Online
VISA000499,Australia,Tourist,Nigeria,2023-11-06,2023-12-12,36,Approved,Dhaka,Yes,Yes,Online
VISA000500,Canada,Work,India,2023-01-15,2023-03-07,51,Approved,Chennai,No,Yes,Online
VISA000501,Canada,Work,Philippines,2023-06-29,2023-08-11,43,Approved,Shanghai,Yes,Yes,Online
VISA000502,USA,Visiting,Bangladesh,2023-11-22,2024-01-07,46,Approved,Bengaluru,Yes,No,Online
VISA000503,Australia,Work,China,2023-03-03,2023-05-11,69,Rejected,Chennai,Yes,Yes,Offline
VISA000504,Canada,Student,Philippines,2023-09-05,2023-11-21,77,Rejected,Mumbai,No,Yes,Online
VISA000505,Australia,Visiting,Brazil,2022-09-25,2022-10-30,35,Approved,Dhaka,Yes,No,Online
VISA000506,Canada,Work,China,2023-07-31,2023-10-03,64,Approved,Shanghai,Yes,Yes,Online
VISA000507,Australia,Tourist,Philippines,2023-02-21,2023-04-06,44,Approved,Dhaka,Yes,No,Online
VISA000508,UK,Student,Bangladesh,2022-06-17,2022-07-31,44,Approved,Sao Paulo,No,Yes,Online
VISA000509,USA,Tourist,India,2022-02-12,2022-04-15,62,Approved,Abuja,Yes,Yes,Online
VISA000510,Australia,Visiting,China,2023-07-10,2023-08-18,39,Approved,Beijing,Yes,Yes,Offline
VISA000511,UK,Tourist,Bangladesh,2022-10-12,2022-12-13,62,Approved,Dhaka,Yes,Yes,Online
VISA000512,Australia,Work,Nigeria,2023-02-01,2023-04-07,65,Approved,Mumbai,No,Yes,Online
VISA000513,Australia,Work,Brazil,2022-01-12,2022-03-01,48,Approved,Chennai,No,No,Online
VISA000514,UK,Visiting,China,2023-08-30,2023-11-12,74,Rejected,Sao Paulo,Yes,Yes,Online
VISA000515,Australia,Tourist,India,2022-10-29,2022-12-03,35,Approved,Mumbai,Yes,No,Online
