application_id,destination_country,visa_type,nationality,application_date,decision_date,processing_time_days,processing_time_weeks,visa_status,processing_center,biometric_required,interview_required,application_mode
VISA00245,UK,Tourist,Bangladesh,2022-09-21,,,,Pending,Dhaka,Yes,No,Offline
VISA00246,USA,Student,Nigeria,2023-05-30,2023-08-16,78.0,11.14,Rejected,Abuja,No,Yes,Offline
VISA00247,Australia,Tourist,China,2022-08-13,,,,Pending,Beijing,Yes,No,Offline
VISA00248,UK,Student,Philippines,2022-05-29,2022-07-13,45.0,6.43,Rejected,Manila,No,Yes,Offline
VISA00249,Canada,Work,India,2023-06-04,2023-06-29,25.0,3.57,Rejected,Bengaluru,No,Yes,Online
VISA00250,UK,Student,Brazil,2022-12-17,,,,Pending,Sao Paulo,No,No,Online
VISA00251,Canada,Student,Pakistan,2023-01-17,2023-03-30,72.0,10.29,Approved,Lahore,Yes,Yes,Offline
VISA00252,Australia,Work,Nigeria,2022-05-16,2022-06-21,36.0,5.14,Approved,Abuja,Yes,No,Offline
VISA00253,Australia,Tourist,Brazil,2022-03-05,2022-04-28,54.0,7.71,Rejected,Sao Paulo,Yes,Yes,Online
VISA00254,Canada,Tourist,Philippines,2022-03-09,2022-04-18,40.0,5.71,Approved,Manila,Yes,Yes,
VISA00255,Canada,Student,India,2023-05-19,2023-07-31,73.0,10.43,Approved,New Delhi,No,Yes,Online
VISA00256,Australia,Student,India,2023-05-01,,,,Pending,Hyderabad,No,Yes,Online
VISA00257,UK,Student,India,2022-10-26,2022-11-23,28.0,4.0,Approved,Hyderabad,Yes,No,Online
VISA00258,Australia,Work,Philippines,2022-01-20,2022-03-13,52.0,7.43,Rejected,Manila,No,No,
VISA00259,Canada,Work,Nigeria,2022-12-07,2023-02-23,78.0,11.14,Rejected,Lagos,Yes,No,Offline
VISA00260,Canada,Tourist,Bangladesh,2022-01-19,2022-03-16,56.0,8.0,Approved,Dhaka,Yes,No,Online
VISA00261,Australia,Work,Philippines,2022-02-21,2022-05-06,74.0,10.57,Approved,Manila,Yes,Yes,Online
VISA00262,UK,Tourist,India,2023-01-22,2023-04-01,69.0,9.86,Approved,Hyderabad,Yes,Yes,
VISA00263,Australia,Work,Philippines,2023-02-28,2023-04-23,54.0,7.71,Rejected,Manila,Yes,No,Online
VISA00264,USA,Tourist,Brazil,2023-02-01,2023-03-09,36.0,5.14,Rejected,Sao Paulo,No,No,Offline
VISA00265,USA,Work,Bangladesh,2023-06-25,,,,Pending,Dhaka,Yes,No,Online
VISA00266,UK,Student,Pakistan,2023-04-28,2023-05-15,17.0,2.43,Approved,Lahore,No,Yes,
VISA00267,USA,Tourist,Pakistan,2022-06-21,2022-08-15,55.0,7.86,Rejected,Islamabad,Yes,Yes,Offline
VISA00268,Canada,Work,Pakistan,2022-04-22,2022-05-11,19.0,2.71,Rejected,Islamabad,No,No,Online
VISA00269,UK,Work,India,2022-08-15,,,,Pending,Chennai,Yes,Yes,
VISA00270,USA,Student,Pakistan,2023-02-16,2023-04-12,55.0,7.86,Rejected,Islamabad,Yes,No,Offline
VISA00271,Australia,Tourist,Nigeria,2022-03-27,2022-06-01,66.0,9.43,Approved,Abuja,Yes,Yes,Offline
VISA00272,Australia,Work,Bangladesh,2022-12-08,2023-01-10,33.0,4.71,Approved,Dhaka,No,No,Offline
VISA00273,USA,Work,India,2022-05-27,,,,Pending,Hyderabad,No,Yes,
VISA00274,Canada,Work,Bangladesh,2023-04-01,2023-06-02,62.0,8.86,Approved,Dhaka,Yes,Yes,Offline
VISA00275,Australia,Tourist,Brazil,2023-02-05,,,,Pending,Sao Paulo,Yes,No,Offline
VISA00276,UK,Work,Nigeria,2022-01-19,2022-03-13,53.0,7.57,Approved,Lagos,No,No,
VISA00277,UK,Student,Philippines,2022-03-25,2022-05-21,57.0,8.14,Approved,Manila,Yes,Yes,Online
VISA00278,UK,Work,India,2022-12-24,2023-03-03,69.0,9.86,Approved,Chennai,No,Yes,Online
VISA00279,Canada,Tourist,Philippines,2022-01-23,2022-03-07,43.0,6.14,Approved,Manila,No,No,Online
VISA00280,Australia,Student,Nigeria,2023-05-24,2023-06-21,28.0,4.0,Rejected,Abuja,No,No,Online
VISA00281,Australia,Student,Philippines,2022-07-31,2022-09-02,33.0,4.71,Rejected,Manila,Yes,Yes,Online
VISA00282,Australia,Tourist,Philippines,2022-07-12,2022-08-20,39.0,5.57,Approved,Manila,Yes,Yes,Offline
VISA00283,USA,Work,China,2023-03-12,,,,Pending,Beijing,No,No,Online
VISA00284,UK,Work,Nigeria,2023-02-12,2023-03-25,41.0,5.86,Approved,Abuja,No,No,Offline
VISA00285,USA,Work,Brazil,2022-08-22,2022-10-16,55.0,7.86,Approved,Sao Paulo,Yes,No,Online
VISA00286,USA,Work,Brazil,2022-10-26,2022-12-05,40.0,5.71,Approved,Sao Paulo,Yes,No,Offline
VISA00287,Canada,Work,Brazil,2023-05-04,,,,Pending,Sao Paulo,No,Yes,
VISA00288,Australia,Work,Pakistan,2022-04-13,2022-06-18,66.0,9.43,Approved,Islamabad,Yes,No,Offline
VISA00289,USA,Tourist,China,2022-03-27,2022-06-10,75.0,10.71,Approved,Beijing,No,Yes,
VISA00290,Canada,Tourist,Pakistan,2022-04-06,2022-05-01,25.0,3.57,Approved,Lahore,No,Yes,Offline
VISA00291,Australia,Student,Pakistan,2022-05-13,2022-06-08,26.0,3.71,Rejected,Islamabad,No,No,
VISA00292,Australia,Tourist,China,2022-11-26,2023-01-01,36.0,5.14,Rejected,Beijing,Yes,No,Offline
VISA00293,Canada,Work,Philippines,2023-03-07,2023-05-07,61.0,8.71,Approved,Manila,Yes,Yes,
VISA00294,Canada,Student,India,2023-03-02,2023-05-14,73.0,10.43,Approved,Bengaluru,Yes,Yes,
VISA00295,UK,Tourist,India,2022-09-17,2022-10-03,16.0,2.29,Approved,Chennai,No,No,Offline
VISA00296,Canada,Student,China,2022-07-30,2022-09-14,46.0,6.57,Approved,Beijing,No,No,Online
VISA00297,Canada,Student,Philippines,2022-09-18,2022-11-27,70.0,10.0,Approved,Manila,Yes,Yes,
VISA00298,Canada,Tourist,Brazil,2023-05-09,2023-06-23,45.0,6.43,Approved,Sao Paulo,No,Yes,
VISA00299,UK,Tourist,India,2023-05-02,2023-06-29,58.0,8.29,Approved,New Delhi,Yes,No,
VISA00300,Canada,Tourist,Philippines,2023-03-04,2023-03-23,19.0,2.71,Approved,Manila,Yes,No,
VISA00301,Canada,Tourist,China,2023-04-23,,,,Pending,Beijing,No,Yes,
VISA00302,UK,Student,Brazil,2022-05-21,2022-06-21,31.0,4.43,Approved,Sao Paulo,Yes,Yes,Online
VISA00303,USA,Work,Pakistan,2022-11-20,2022-12-25,35.0,5.0,Approved,Islamabad,Yes,Yes,Online
VISA00304,USA,Tourist,Pakistan,2022-08-12,,,,Pending,Islamabad,No,No,Offline
VISA00305,Australia,Tourist,Pakistan,2023-01-03,2023-03-09,65.0,9.29,Approved,Lahore,No,No,Offline
VISA00306,Canada,Work,Nigeria,2023-04-13,2023-05-13,30.0,4.29,Rejected,Lagos,No,Yes,
VISA00307,Canada,Tourist,Pakistan,2023-03-29,2023-05-29,61.0,8.71,Approved,Islamabad,No,No,
VISA00308,UK,Work,Brazil,2022-06-26,2022-08-30,65.0,9.29,Rejected,Sao Paulo,No,Yes,
VISA00309,UK,Student,Philippines,2022-07-02,2022-07-29,27.0,3.86,Rejected,Manila,Yes,Yes,Online
VISA00310,USA,Work,Pakistan,2022-10-16,2022-11-27,42.0,6.0,Approved,Lahore,No,No,Offline
VISA00311,UK,Student,China,2022-07-31,2022-10-07,68.0,9.71,Approved,Beijing,Yes,No,Offline
VISA00312,Canada,Tourist,Bangladesh,2023-01-07,2023-03-12,64.0,9.14,Rejected,Dhaka,No,No,Online
VISA00313,Canada,Work,Philippines,2022-06-23,2022-07-31,38.0,5.43,Approved,Manila,Yes,No,Offline
VISA00314,UK,Work,India,2022-07-29,2022-10-05,68.0,9.71,Rejected,Hyderabad,No,No,Online
VISA00315,Canada,Tourist,Brazil,2022-04-02,2022-05-05,33.0,4.71,Approved,Sao Paulo,No,Yes,Offline
VISA00316,USA,Work,Pakistan,2023-05-28,2023-08-07,71.0,10.14,Approved,Islamabad,Yes,Yes,Online
VISA00317,USA,Tourist,Nigeria,2023-01-28,2023-04-03,65.0,9.29,Approved,Lagos,Yes,Yes,Online
VISA00318,Canada,Student,India,2022-05-02,2022-07-03,62.0,8.86,Approved,Mumbai,No,Yes,
VISA00319,USA,Tourist,Brazil,2022-05-03,2022-06-01,29.0,4.14,Approved,Sao Paulo,Yes,Yes,
VISA00320,UK,Student,Bangladesh,2022-02-27,2022-04-05,37.0,5.29,Approved,Dhaka,Yes,No,Offline
VISA00321,Australia,Work,Brazil,2022-12-14,2023-01-25,42.0,6.0,Approved,Sao Paulo,No,Yes,Online
VISA00322,USA,Work,Pakistan,2023-01-22,2023-03-05,42.0,6.0,Approved,Lahore,No,No,
VISA00323,Canada,Tourist,Philippines,2022-10-06,2022-12-02,57.0,8.14,Approved,Manila,No,Yes,
VISA00324,Australia,Student,Philippines,2022-02-27,2022-03-26,27.0,3.86,Rejected,Manila,No,Yes,Online
VISA00325,USA,Tourist,China,2022-09-20,2022-11-16,57.0,8.14,Approved,Shanghai,Yes,Yes,
VISA00326,Australia,Tourist,Bangladesh,2022-07-11,,,,Pending,Dhaka,No,Yes,
VISA00327,UK,Work,China,2022-07-12,2022-08-03,22.0,3.14,Approved,Shanghai,No,No,
VISA00328,USA,Work,Philippines,2022-08-07,2022-10-31,85.0,12.14,Approved,Manila,No,No,Offline
VISA00329,UK,Tourist,Philippines,2022-09-08,2022-11-18,71.0,10.14,Approved,Manila,No,Yes,
VISA00330,UK,Work,Bangladesh,2022-09-29,,,,Pending,Dhaka,No,No,Offline
VISA00331,UK,Student,China,2022-12-08,2023-01-27,50.0,7.14,Approved,Beijing,Yes,No,
VISA00332,UK,Work,Bangladesh,2023-06-25,2023-07-10,15.0,2.14,Approved,Dhaka,Yes,Yes,Offline
VISA00333,USA,Tourist,Bangladesh,2022-04-19,2022-07-08,80.0,11.43,Rejected,Dhaka,No,No,
VISA00334,Australia,Tourist,Philippines,2022-08-01,2022-10-05,65.0,9.29,Approved,Manila,No,Yes,Online
VISA00335,USA,Tourist,Nigeria,2022-04-16,2022-07-06,81.0,11.57,Rejected,Lagos,No,Yes,Offline
VISA00336,USA,Work,Nigeria,2023-06-18,2023-07-15,27.0,3.86,Approved,Lagos,No,No,Online
VISA00337,USA,Student,Pakistan,2022-02-22,2022-05-12,79.0,11.29,Approved,Lahore,Yes,Yes,Online
VISA00338,UK,Tourist,Bangladesh,2022-03-23,2022-05-02,40.0,5.71,Approved,Dhaka,Yes,No,Online
VISA00339,Australia,Tourist,Brazil,2022-05-28,2022-07-18,51.0,7.29,Approved,Sao Paulo,No,No,Offline
VISA00340,USA,Student,Pakistan,2022-08-20,2022-11-10,82.0,11.71,Approved,Islamabad,Yes,No,Offline
VISA00341,Canada,Work,Nigeria,2022-07-09,,,,Pending,Lagos,No,Yes,
VISA00342,USA,Work,Philippines,2022-03-04,2022-03-31,27.0,3.86,Approved,Manila,Yes,No,Online
VISA00343,Australia,Tourist,China,2022-05-07,2022-05-29,22.0,3.14,Approved,Shanghai,No,Yes,
VISA00344,Canada,Work,Pakistan,2022-09-03,2022-11-16,74.0,10.57,Rejected,Islamabad,No,No,Offline
VISA00345,Australia,Work,Bangladesh,2022-10-01,2022-11-29,59.0,8.43,Rejected,Dhaka,No,No,
VISA00346,UK,Tourist,Bangladesh,2022-02-11,,,,Pending,Dhaka,No,Yes,Offline
VISA00347,USA,Work,Bangladesh,2022-08-04,2022-09-23,50.0,7.14,Approved,Dhaka,Yes,No,
VISA00348,Australia,Student,Pakistan,2022-11-20,2023-01-01,42.0,6.0,Approved,Islamabad,No,No,Online
VISA00349,UK,Tourist,Brazil,2023-04-25,2023-06-30,66.0,9.43,Approved,Sao Paulo,No,Yes,Online
VISA00350,Canada,Tourist,Nigeria,2023-05-10,2023-06-15,36.0,5.14,Approved,Abuja,Yes,No,Online
VISA00351,USA,Work,Brazil,2023-03-28,,,,Pending,Sao Paulo,Yes,No,Offline
VISA00352,Canada,Work,Nigeria,2023-06-04,2023-08-05,62.0,8.86,Approved,Abuja,Yes,No,
VISA00353,Canada,Work,Bangladesh,2022-12-31,2023-03-20,79.0,11.29,Approved,Dhaka,No,No,Online
VISA00354,UK,Student,Philippines,2022-05-07,2022-06-03,27.0,3.86,Approved,Manila,No,Yes,Online
VISA00355,Australia,Work,China,2022-11-23,,,,Pending,Shanghai,No,No,Offline
VISA00356,UK,Tourist,Philippines,2023-01-30,2023-03-16,45.0,6.43,Approved,Manila,No,Yes,Offline
VISA00357,Canada,Work,Bangladesh,2022-09-13,2022-11-19,67.0,9.57,Approved,Dhaka,No,No,
VISA00358,UK,Work,Nigeria,2022-04-10,2022-05-19,39.0,5.57,Rejected,Lagos,No,Yes,
VISA00359,USA,Tourist,Nigeria,2022-12-18,2023-02-11,55.0,7.86,Approved,Lagos,Yes,Yes,
VISA00360,Canada,Student,China,2022-05-23,,,,Pending,Beijing,Yes,No,Online
VISA00361,USA,Work,Bangladesh,2022-05-18,2022-07-02,45.0,6.43,Approved,Dhaka,No,Yes,
VISA00362,Canada,Student,India,2023-03-31,,,,Pending,Bengaluru,Yes,Yes,Online
VISA00363,Australia,Tourist,Bangladesh,2022-12-02,2023-01-12,41.0,5.86,Rejected,Dhaka,No,Yes,Online
VISA00364,USA,Work,Brazil,2022-09-03,,,,Pending,Sao Paulo,Yes,Yes,Online
VISA00365,Canada,Tourist,Philippines,2023-01-17,,,,Pending,Manila,No,No,
VISA00366,Australia,Student,Brazil,2023-05-28,2023-07-08,41.0,5.86,Approved,Sao Paulo,No,Yes,
VISA00367,Australia,Student,India,2022-01-21,2022-03-05,43.0,6.14,Approved,New Delhi,No,No,Offline
VISA00368,Australia,Tourist,Bangladesh,2023-04-16,2023-06-14,59.0,8.43,Approved,Dhaka,No,No,Offline
VISA00369,Australia,Tourist,Philippines,2022-12-17,2023-03-10,83.0,11.86,Approved,Manila,No,Yes,
VISA00370,UK,Work,Brazil,2023-03-25,2023-05-19,55.0,7.86,Approved,Sao Paulo,Yes,No,
VISA00371,UK,Tourist,Bangladesh,2022-01-05,2022-01-27,22.0,3.14,Approved,Dhaka,No,No,Offline
VISA00372,Canada,Work,China,2022-09-22,2022-10-06,14.0,2.0,Rejected,Beijing,Yes,Yes,
VISA00373,UK,Tourist,China,2022-04-22,2022-07-01,70.0,10.0,Approved,Beijing,No,No,Online
VISA00374,UK,Tourist,Bangladesh,2022-02-27,2022-03-31,32.0,4.57,Approved,Dhaka,No,No,Online
VISA00375,UK,Work,Bangladesh,2022-08-02,2022-08-28,26.0,3.71,Approved,Dhaka,Yes,Yes,
VISA00376,USA,Tourist,Nigeria,2023-01-03,2023-02-06,34.0,4.86,Approved,Lagos,Yes,Yes,Offline
VISA00377,Australia,Work,Pakistan,2022-06-09,2022-08-18,70.0,10.0,Rejected,Islamabad,Yes,Yes,Online
VISA00378,Australia,Tourist,China,2022-09-07,,,,Pending,Beijing,No,No,Offline
VISA00379,UK,Tourist,India,2022-03-12,,,,Pending,New Delhi,No,No,Online
VISA00380,Canada,Tourist,China,2023-01-02,2023-03-16,73.0,10.43,Approved,Shanghai,No,Yes,Online
VISA00381,UK,Work,China,2022-03-10,2022-04-11,32.0,4.57,Approved,Shanghai,Yes,No,Offline
VISA00382,USA,Work,Bangladesh,2023-05-20,2023-06-23,34.0,4.86,Approved,Dhaka,Yes,No,
VISA00383,USA,Work,Philippines,2022-10-13,2022-11-22,40.0,5.71,Rejected,Manila,No,No,
VISA00384,UK,Tourist,Bangladesh,2022-03-26,2022-05-12,47.0,6.71,Approved,Dhaka,No,No,Offline
VISA00385,UK,Work,Brazil,2023-01-30,,,,Pending,Sao Paulo,Yes,Yes,Offline
VISA00386,USA,Student,India,2022-04-26,2022-05-23,27.0,3.86,Approved,Chennai,No,No,Offline
VISA00387,Canada,Work,Nigeria,2023-06-04,2023-07-14,40.0,5.71,Approved,Abuja,No,No,Offline
VISA00388,UK,Tourist,Philippines,2022-05-21,2022-06-29,39.0,5.57,Approved,Manila,No,Yes,Offline
VISA00389,USA,Student,India,2022-10-14,2022-12-22,69.0,9.86,Rejected,New Delhi,Yes,Yes,Offline
VISA00390,Canada,Work,Brazil,2022-02-26,2022-04-06,39.0,5.57,Approved,Sao Paulo,Yes,No,Online
VISA00391,Canada,Tourist,India,2023-01-16,2023-03-19,62.0,8.86,Approved,Hyderabad,Yes,Yes,Online
VISA00392,UK,Work,Bangladesh,2022-08-13,2022-09-08,26.0,3.71,Approved,Dhaka,No,Yes,Online
VISA00393,USA,Tourist,China,2022-05-03,2022-07-13,71.0,10.14,Approved,Beijing,Yes,No,Offline
VISA00394,USA,Tourist,Philippines,2022-05-01,,,,Pending,Manila,Yes,Yes,Offline
VISA00395,USA,Tourist,Bangladesh,2022-02-05,,,,Pending,Dhaka,No,Yes,
VISA00396,Canada,Tourist,China,2022-01-10,,,,Pending,Beijing,No,Yes,Offline
VISA00397,Canada,Work,Bangladesh,2023-03-30,2023-05-02,33.0,4.71,Rejected,Dhaka,No,No,Online
VISA00398,UK,Tourist,Brazil,2022-07-20,2022-08-08,19.0,2.71,Rejected,Sao Paulo,Yes,No,Offline
VISA00399,USA,Student,India,2023-02-05,,,,Pending,Mumbai,Yes,Yes,
VISA00400,USA,Work,Brazil,2023-04-17,2023-06-05,49.0,7.0,Approved,Sao Paulo,Yes,No,
VISA00401,Australia,Work,India,2023-06-20,2023-08-05,46.0,6.57,Rejected,Hyderabad,No,No,Online
VISA00402,USA,Tourist,Pakistan,2023-06-11,2023-08-03,53.0,7.57,Approved,Lahore,Yes,No,
VISA00403,UK,Work,Brazil,2023-03-22,,,,Pending,Sao Paulo,No,Yes,Online
VISA00404,Australia,Student,Pakistan,2023-04-29,2023-06-29,61.0,8.71,Approved,Islamabad,Yes,Yes,
VISA00405,Canada,Tourist,China,2022-09-22,2022-12-05,74.0,10.57,Approved,Beijing,No,Yes,
VISA00406,USA,Tourist,Brazil,2022-10-19,2022-11-19,31.0,4.43,Approved,Sao Paulo,No,No,Online
VISA00407,UK,Tourist,China,2022-01-31,2022-03-16,44.0,6.29,Approved,Shanghai,No,Yes,Offline
VISA00408,Canada,Work,Philippines,2023-05-18,2023-08-08,82.0,11.71,Approved,Manila,No,No,Online
VISA00409,Australia,Tourist,Philippines,2022-10-17,2023-01-07,82.0,11.71,Approved,Manila,Yes,Yes,
VISA00410,USA,Student,Brazil,2022-08-25,2022-09-22,28.0,4.0,Approved,Sao Paulo,No,No,
VISA00411,Canada,Work,Bangladesh,2022-08-24,2022-10-27,64.0,9.14,Approved,Dhaka,No,No,Online
VISA00412,USA,Student,China,2023-04-17,2023-05-21,34.0,4.86,Approved,Shanghai,Yes,Yes,Online
VISA00413,USA,Tourist,India,2022-09-19,2022-12-06,78.0,11.14,Approved,Chennai,No,No,Online
VISA00414,USA,Student,Philippines,2023-02-02,2023-03-12,38.0,5.43,Approved,Manila,No,No,Offline
VISA00415,UK,Tourist,India,2023-01-20,2023-02-12,23.0,3.29,Approved,Chennai,No,No,Online
VISA00416,Australia,Work,Philippines,2022-12-21,2023-03-02,71.0,10.14,Approved,Manila,No,No,Online
VISA00417,USA,Work,Nigeria,2023-03-09,2023-05-13,65.0,9.29,Approved,Lagos,No,Yes,Online
VISA00418,UK,Student,Brazil,2023-01-24,2023-02-28,35.0,5.0,Approved,Sao Paulo,Yes,No,Online
VISA00419,Canada,Tourist,China,2023-02-20,2023-03-18,26.0,3.71,Rejected,Beijing,No,Yes,Online
VISA00420,USA,Student,Bangladesh,2022-02-20,2022-05-17,86.0,12.29,Approved,Dhaka,No,Yes,Online
VISA00421,USA,Student,Pakistan,2022-03-03,2022-05-07,65.0,9.29,Approved,Islamabad,Yes,Yes,
VISA00422,Canada,Work,Brazil,2022-09-29,2022-12-11,73.0,10.43,Approved,Sao Paulo,Yes,No,Online
VISA00423,Australia,Work,China,2022-02-12,2022-03-18,34.0,4.86,Approved,Shanghai,Yes,Yes,Online
VISA00424,Canada,Student,India,2023-01-01,2023-03-14,72.0,10.29,Approved,Mumbai,No,Yes,Online
VISA00425,UK,Tourist,Brazil,2022-08-24,,,,Pending,Sao Paulo,No,No,Offline
VISA00426,Australia,Work,China,2022-02-12,2022-04-26,73.0,10.43,Approved,Beijing,Yes,No,
VISA00427,Canada,Work,Pakistan,2023-05-14,2023-06-14,31.0,4.43,Approved,Islamabad,No,Yes,Online
VISA00428,Canada,Work,Brazil,2023-01-18,2023-03-09,50.0,7.14,Approved,Sao Paulo,Yes,Yes,Online
VISA00429,Australia,Student,Pakistan,2023-01-28,2023-04-09,71.0,10.14,Approved,Islamabad,Yes,Yes,
VISA00430,Canada,Work,Philippines,2022-06-03,2022-07-01,28.0,4.0,Approved,Manila,Yes,Yes,Online
VISA00431,UK,Tourist,Brazil,2023-01-11,2023-02-03,23.0,3.29,Rejected,Sao Paulo,No,No,Offline
VISA00432,UK,Student,Brazil,2022-01-20,2022-02-14,25.0,3.57,Approved,Sao Paulo,No,Yes,Offline
VISA00433,Australia,Work,Bangladesh,2022-03-31,2022-05-02,32.0,4.57,Approved,Dhaka,No,Yes,
VISA00434,UK,Student,Bangladesh,2022-11-13,2022-12-27,44.0,6.29,Approved,Dhaka,No,No,Offline
VISA00435,Canada,Student,Philippines,2023-02-25,,,,Pending,Manila,Yes,Yes,Online
VISA00436,USA,Work,Philippines,2022-08-08,2022-10-30,83.0,11.86,Approved,Manila,Yes,No,Offline
VISA00437,USA,Tourist,India,2023-04-05,2023-06-16,72.0,10.29,Approved,New Delhi,No,No,Offline
VISA00438,Australia,Work,Bangladesh,2022-04-25,2022-07-07,73.0,10.43,Rejected,Dhaka,No,Yes,
VISA00439,UK,Work,China,2022-09-11,2022-10-24,43.0,6.14,Approved,Shanghai,Yes,Yes,
VISA00440,Australia,Work,Philippines,2022-10-11,2022-12-21,71.0,10.14,Approved,Manila,No,No,
VISA00441,USA,Student,Philippines,2022-09-25,2022-11-19,55.0,7.86,Approved,Manila,Yes,Yes,Online
VISA00442,USA,Student,Nigeria,2022-07-15,2022-10-04,81.0,11.57,Approved,Lagos,Yes,Yes,Online
VISA00443,USA,Tourist,China,2022-10-31,2023-01-21,82.0,11.71,Approved,Shanghai,Yes,No,
VISA00444,UK,Student,Nigeria,2022-12-11,2023-01-11,31.0,4.43,Approved,Abuja,No,Yes,Online
VISA00445,Australia,Student,Bangladesh,2022-04-22,2022-05-22,30.0,4.29,Approved,Dhaka,No,Yes,
VISA00446,Australia,Tourist,Bangladesh,2022-05-03,2022-05-26,23.0,3.29,Approved,Dhaka,No,Yes,
VISA00447,UK,Work,Bangladesh,2022-01-28,2022-04-12,74.0,10.57,Approved,Dhaka,Yes,Yes,Online
VISA00448,Canada,Work,Nigeria,2022-05-25,,,,Pending,Abuja,Yes,Yes,Online
VISA00449,Australia,Tourist,India,2023-01-25,2023-02-16,22.0,3.14,Rejected,Chennai,No,Yes,Offline
VISA00450,UK,Student,Nigeria,2022-07-28,,,,Pending,Lagos,No,No,
VISA00451,USA,Work,China,2022-04-02,2022-05-06,34.0,4.86,Rejected,Beijing,No,Yes,Offline
VISA00452,USA,Student,India,2022-02-11,2022-03-20,37.0,5.29,Rejected,Chennai,Yes,No,Online
VISA00453,Australia,Tourist,Pakistan,2023-03-10,2023-04-23,44.0,6.29,Approved,Lahore,No,No,Offline
VISA00454,UK,Student,Brazil,2023-01-13,2023-02-13,31.0,4.43,Rejected,Sao Paulo,No,No,Offline
VISA00455,UK,Student,India,2022-12-23,2023-01-07,15.0,2.14,Approved,New Delhi,Yes,No,
VISA00456,Australia,Student,China,2022-09-06,2022-11-01,56.0,8.0,Approved,Shanghai,No,Yes,
VISA00457,USA,Tourist,India,2023-04-27,,,,Pending,Mumbai,Yes,No,Offline
VISA00458,USA,Student,China,2022-02-08,2022-04-01,52.0,7.43,Rejected,Beijing,Yes,No,Offline
VISA00459,USA,Student,India,2023-04-05,2023-05-31,56.0,8.0,Rejected,Hyderabad,Yes,Yes,Offline
VISA00460,USA,Work,Bangladesh,2022-09-18,,,,Pending,Dhaka,Yes,Yes,Offline
VISA00461,Australia,Work,China,2022-11-21,2023-01-17,57.0,8.14,Approved,Beijing,No,Yes,
VISA00462,UK,Work,Nigeria,2022-07-13,,,,Pending,Lagos,Yes,Yes,Online
VISA00463,UK,Tourist,Pakistan,2022-04-01,2022-04-20,19.0,2.71,Approved,Lahore,No,Yes,Offline
VISA00464,UK,Work,Pakistan,2023-04-24,2023-05-28,34.0,4.86,Approved,Islamabad,Yes,No,
VISA00465,USA,Work,Philippines,2023-05-17,2023-07-11,55.0,7.86,Approved,Manila,No,Yes,Online
VISA00466,USA,Work,Nigeria,2023-02-20,2023-05-08,77.0,11.0,Approved,Lagos,No,No,Offline
VISA00467,Australia,Tourist,Bangladesh,2023-04-10,2023-06-22,73.0,10.43,Rejected,Dhaka,No,Yes,Offline
VISA00468,USA,Student,Pakistan,2022-07-30,,,,Pending,Islamabad,No,Yes,Online
VISA00469,Canada,Work,Bangladesh,2023-03-31,2023-06-15,76.0,10.86,Approved,Dhaka,Yes,No,
VISA00470,Canada,Work,Bangladesh,2022-06-30,2022-09-09,71.0,10.14,Approved,Dhaka,Yes,No,
VISA00471,USA,Student,Brazil,2022-08-03,2022-10-23,81.0,11.57,Rejected,Sao Paulo,Yes,Yes,Offline
VISA00472,UK,Work,Nigeria,2023-04-15,2023-06-24,70.0,10.0,Rejected,Abuja,No,No,
VISA00473,Australia,Student,Philippines,2022-02-17,2022-03-23,34.0,4.86,Approved,Manila,Yes,No,Online
VISA00474,UK,Work,Philippines,2022-01-21,2022-02-21,31.0,4.43,Approved,Manila,No,Yes,
VISA00475,UK,Student,Pakistan,2022-06-21,2022-09-03,74.0,10.57,Approved,Lahore,No,Yes,
VISA00476,Canada,Student,China,2022-09-11,,,,Pending,Shanghai,Yes,No,
VISA00477,Australia,Work,Pakistan,2022-12-10,,,,Pending,Islamabad,Yes,Yes,Offline
VISA00478,USA,Student,Brazil,2022-04-15,2022-05-25,40.0,5.71,Approved,Sao Paulo,Yes,No,Online
VISA00479,Australia,Work,Bangladesh,2022-11-09,2023-01-18,70.0,10.0,Approved,Dhaka,Yes,Yes,
VISA00480,UK,Tourist,India,2023-02-18,2023-04-12,53.0,7.57,Rejected,New Delhi,Yes,No,Online
VISA00481,USA,Work,Pakistan,2022-04-17,2022-07-01,75.0,10.71,Approved,Lahore,Yes,No,Offline
VISA00482,UK,Work,Bangladesh,2023-05-18,2023-07-13,56.0,8.0,Approved,Dhaka,Yes,No,Online
VISA00483,Australia,Work,Pakistan,2023-01-26,2023-03-08,41.0,5.86,Approved,Lahore,Yes,No,Online
VISA00484,UK,Tourist,Philippines,2022-04-03,2022-04-21,18.0,2.57,Approved,Manila,No,No,Offline
VISA00485,USA,Work,Philippines,2022-02-18,,,,Pending,Manila,Yes,Yes,Offline
VISA00486,Australia,Student,China,2022-01-15,2022-03-20,64.0,9.14,Approved,Beijing,No,Yes,Online
VISA00487,Australia,Tourist,China,2023-04-30,2023-06-23,54.0,7.71,Approved,Beijing,No,Yes,
VISA00488,Australia,Student,India,2022-04-24,,,,Pending,New Delhi,No,No,Online
VISA00489,UK,Tourist,Pakistan,2023-02-13,2023-03-20,35.0,5.0,Rejected,Islamabad,No,Yes,Offline
VISA00490,UK,Tourist,Bangladesh,2022-04-18,2022-05-03,15.0,2.14,Approved,Dhaka,Yes,Yes,
